inventory_id,store_id,product_id,inventory_date,available_qty,reorder_level,safety_stock
INV001,ST001,P1001,2026-09-05,12,50,5
INV002,ST001,P1002,2026-09-05,8,40,5
INV003,ST001,P1003,2026-09-05,4,20,3
INV004,ST002,P1004,2026-09-05,15,30,5
INV005,ST002,P1005,2026-09-05,3,15,5
INV006,ST002,P1006,2026-09-05,25,100,10
INV007,ST003,P1007,2026-09-05,7,30,5
INV008,ST003,P1008,2026-09-05,18,60,10
INV009,ST004,P1002,2026-09-05,2,25,5
INV010,ST004,P1006,2026-09-05,5,50,10
INV011,ST005,P1005,2026-09-05,1,10,5
INV012,ST005,P1008,2026-09-05,9,30,10
