inventory_id,store_id,product_id,inventory_date,available_qty,reorder_level,safety_stock
INV202609140001,S020,P0001,2026-09-14,353,87,58
INV202609140002,S011,P0002,2026-09-14,410,82,21
INV202609140003,S005,P0003,2026-09-14,336,35,10
INV202609140004,S006,P0004,2026-09-14,253,54,12
INV202609140005,S012,P0005,2026-09-14,411,93,13
INV202609140006,S007,P0006,2026-09-14,151,30,16
INV202609140007,S025,P0007,2026-09-14,247,21,16
INV202609140008,S003,P0008,2026-09-14,166,62,49
INV202609140009,S027,P0009,2026-09-14,253,86,80
INV202609140010,S005,P0010,2026-09-14,414,29,29
INV202609140011,S013,P0011,2026-09-14,208,39,21
INV202609140012,S009,P0012,2026-09-14,151,100,40
INV202609140013,S008,P0013,2026-09-14,34,73,23
INV202609140014,S005,P0014,2026-09-14,222,43,37
INV202609140015,S003,P0015,2026-09-14,360,44,17
INV202609140016,S003,P0016,2026-09-14,241,79,31
INV202609140017,S023,P0017,2026-09-14,347,51,10
INV202609140018,S023,P0018,2026-09-14,65,40,22
INV202609140019,S028,P0019,2026-09-14,370,49,10
INV202609140020,S004,P0020,2026-09-14,5,90,53
INV202609140021,S006,P0021,2026-09-14,65,58,36
INV202609140022,S012,P0022,2026-09-14,218,47,23
INV202609140023,S018,P0023,2026-09-14,325,94,94
INV202609140024,S015,P0024,2026-09-14,354,64,32
INV202609140025,S015,P0025,2026-09-14,15,85,27
INV202609140026,S030,P0026,2026-09-14,257,86,57
INV202609140027,S030,P0027,2026-09-14,21,24,16
INV202609140028,S020,P0028,2026-09-14,389,69,28
INV202609140029,S006,P0029,2026-09-14,320,92,29
INV202609140030,S004,P0030,2026-09-14,134,69,36
INV202609140031,S018,P0031,2026-09-14,226,29,22
INV202609140032,S016,P0032,2026-09-14,325,95,40
INV202609140033,S010,P0033,2026-09-14,177,75,36
INV202609140034,S002,P0034,2026-09-14,63,34,33
INV202609140035,S015,P0035,2026-09-14,119,95,26
INV202609140036,S018,P0036,2026-09-14,364,75,13
INV202609140037,S021,P0037,2026-09-14,419,21,18
INV202609140038,S021,P0038,2026-09-14,78,32,32
INV202609140039,S002,P0039,2026-09-14,43,55,27
INV202609140040,S021,P0040,2026-09-14,369,34,21
INV202609140041,S012,P0041,2026-09-14,237,90,54
INV202609140042,S019,P0042,2026-09-14,479,32,31
INV202609140043,S014,P0043,2026-09-14,153,63,58
INV202609140044,S009,P0044,2026-09-14,461,89,89
INV202609140045,S022,P0045,2026-09-14,364,99,57
INV202609140046,S027,P0046,2026-09-14,288,90,56
INV202609140047,S019,P0047,2026-09-14,352,20,17
