order_id,customer_id,product_id,channel,order_timestamp,quantity,order_amount,order_status
O2026091400001,C00062,P0048,MARKETPLACE,2026-09-14 12:51:11,2,8246.5,SHIPPED
O2026091400002,C00229,P0006,MOBILE_APP,2026-09-14 22:31:44,2,2381.2,COMPLETED
O2026091400003,C00289,P0006,MARKETPLACE,2026-09-14 06:25:18,5,13713.5,CANCELLED
O2026091400004,C00464,P0035,ONLINE,2026-09-14 13:39:45,1,3038.63,COMPLETED
O2026091400005,C00127,P0087,ONLINE,2026-09-14 10:13:58,1,3527.92,CANCELLED
O2026091400006,C00162,P0006,MOBILE_APP,2026-09-14 21:33:53,2,1620.84,SHIPPED
O2026091400007,C00289,P0095,MOBILE_APP,2026-09-14 03:24:39,5,12599.2,SHIPPED
O2026091400008,C00089,P0050,ONLINE,2026-09-14 13:59:28,5,8408.05,CANCELLED
O2026091400009,C00272,P0003,MARKETPLACE,2026-09-14 20:37:36,4,19205.52,COMPLETED
O2026091400010,C00129,P0095,MOBILE_APP,2026-09-14 23:22:49,5,20535.6,COMPLETED
O2026091400011,C00383,P0059,ONLINE,2026-09-14 16:00:48,3,7810.14,CANCELLED
O2026091400012,C00237,P0100,WEB,2026-09-14 05:11:56,5,8662.45,CANCELLED
O2026091400013,C00147,P0020,MARKETPLACE,2026-09-14 23:37:53,1,3555.83,SHIPPED
O2026091400014,C00051,P0017,WEB,2026-09-14 10:39:13,3,1658.43,CANCELLED
O2026091400015,C00158,P0088,WEB,2026-09-14 14:55:34,3,6401.61,SHIPPED
O2026091400016,C00395,P0027,ONLINE,2026-09-14 01:33:47,5,5849.1,COMPLETED
O2026091400017,C00191,P0017,WEB,2026-09-14 17:56:21,2,9679.52,COMPLETED
O2026091400018,C00082,P0017,MOBILE_APP,2026-09-14 13:29:03,3,12853.2,COMPLETED
O2026091400019,C00256,P0092,WEB,2026-09-14 13:31:55,3,4236.18,SHIPPED
O2026091400020,C00229,P0046,WEB,2026-09-14 10:00:37,3,349.2,SHIPPED
O2026091400021,C00103,P0018,WEB,2026-09-14 11:03:40,2,886.86,CANCELLED
O2026091400022,C00313,P0080,MOBILE_APP,2026-09-14 08:12:22,5,16015.1,COMPLETED
O2026091400023,C00355,P0071,WEB,2026-09-14 23:02:05,2,9167.94,COMPLETED
O2026091400024,C00287,P0051,WEB,2026-09-14 06:30:22,5,5463.6,COMPLETED
O2026091400025,C00038,P0095,MARKETPLACE,2026-09-14 03:08:18,3,733.65,COMPLETED
O2026091400026,C00226,P0042,ONLINE,2026-09-14 06:05:20,3,3596.67,COMPLETED
O2026091400027,C00300,P0099,MOBILE_APP,2026-09-14 17:43:30,2,1148.1,COMPLETED
O2026091400028,C00217,P0092,MOBILE_APP,2026-09-14 20:50:08,2,826.36,CANCELLED
O2026091400029,C00077,P0082,ONLINE,2026-09-14 17:43:18,3,14523.87,COMPLETED
O2026091400030,C00041,P0042,ONLINE,2026-09-14 14:04:54,5,18822.65,COMPLETED
O2026091400031,C00235,P0026,MARKETPLACE,2026-09-14 13:11:23,1,1871.32,SHIPPED
O2026091400032,C00100,P0100,MARKETPLACE,2026-09-14 02:55:26,2,6596.96,SHIPPED
O2026091400033,C00056,P0004,MOBILE_APP,2026-09-14 02:51:22,2,5470.86,COMPLETED
O2026091400034,C00158,P0072,WEB,2026-09-14 03:24:22,1,2908.0,COMPLETED
O2026091400035,C00049,P0062,MARKETPLACE,2026-09-14 16:33:41,3,8566.65,SHIPPED
O2026091400036,C00424,P0081,MARKETPLACE,2026-09-14 09:24:30,4,16087.36,COMPLETED
O2026091400037,C00160,P0019,MARKETPLACE,2026-09-14 17:18:32,2,3723.78,CANCELLED
O2026091400038,C00065,P0023,ONLINE,2026-09-14 18:01:14,1,1033.5,COMPLETED
O2026091400039,C00375,P0024,MARKETPLACE,2026-09-14 11:09:38,3,10250.28,COMPLETED
O2026091400040,C00482,P0093,MOBILE_APP,2026-09-14 16:36:33,4,12202.04,COMPLETED
O2026091400041,C00048,P0020,WEB,2026-09-14 22:33:59,4,12157.96,COMPLETED
O2026091400042,C00007,P0089,MARKETPLACE,2026-09-14 00:30:47,1,3478.13,SHIPPED
O2026091400043,C00172,P0035,ONLINE,2026-09-14 22:19:45,4,7953.68,CANCELLED
O2026091400044,C00115,P0006,ONLINE,2026-09-14 05:16:17,2,6183.58,COMPLETED
O2026091400045,C00243,P0077,ONLINE,2026-09-14 04:35:24,4,2129.84,COMPLETED
O2026091400046,C00350,P0082,WEB,2026-09-14 04:44:30,1,1062.04,COMPLETED
O2026091400047,C00027,P0096,MARKETPLACE,2026-09-14 17:50:03,5,8223.6,COMPLETED
O2026091400048,C00049,P0002,WEB,2026-09-14 12:44:50,4,19354.52,COMPLETED
O2026091400049,C00241,P0099,MOBILE_APP,2026-09-14 03:49:31,2,9261.92,SHIPPED
O2026091400050,C00364,P0059,WEB,2026-09-14 18:40:20,1,1763.45,SHIPPED
O2026091400051,C00450,P0024,ONLINE,2026-09-14 15:59:14,2,4370.3,COMPLETED
O2026091400052,C00015,P0017,ONLINE,2026-09-14 17:15:08,3,5015.67,SHIPPED
O2026091400053,C00227,P0072,MOBILE_APP,2026-09-14 23:22:53,3,9314.28,SHIPPED
O2026091400054,C00201,P0067,ONLINE,2026-09-14 22:15:14,5,10136.45,COMPLETED
O2026091400055,C00407,P0084,MOBILE_APP,2026-09-14 19:56:18,2,7331.16,CANCELLED
O2026091400056,C00498,P0065,ONLINE,2026-09-14 13:48:15,4,6536.68,COMPLETED
O2026091400057,C00381,P0043,MARKETPLACE,2026-09-14 09:22:33,1,4885.48,COMPLETED
O2026091400058,C00151,P0001,MARKETPLACE,2026-09-14 14:16:23,5,21986.0,CANCELLED
O2026091400059,C00107,P0047,MOBILE_APP,2026-09-14 00:43:48,3,2464.59,CANCELLED
O2026091400060,C00303,P0027,WEB,2026-09-14 12:32:06,1,2920.78,CANCELLED
O2026091400061,C00381,P0059,ONLINE,2026-09-14 13:12:02,2,2230.24,COMPLETED
O2026091400062,C00088,P0088,MOBILE_APP,2026-09-14 09:18:49,3,1493.55,COMPLETED
O2026091400063,C00145,P0026,MARKETPLACE,2026-09-14 23:18:53,3,5701.62,COMPLETED
O2026091400064,C00152,P0085,MOBILE_APP,2026-09-14 00:24:15,3,2438.37,COMPLETED
O2026091400065,C00338,P0058,MOBILE_APP,2026-09-14 16:27:52,1,3749.65,COMPLETED
O2026091400066,C00354,P0006,WEB,2026-09-14 06:34:48,1,3876.48,COMPLETED
O2026091400067,C00064,P0025,ONLINE,2026-09-14 02:52:40,5,24951.7,CANCELLED
O2026091400068,C00486,P0050,MOBILE_APP,2026-09-14 03:49:10,5,457.45,COMPLETED
O2026091400069,C00027,P0009,WEB,2026-09-14 21:22:11,5,22756.35,SHIPPED
O2026091400070,C00207,P0015,ONLINE,2026-09-14 15:46:51,1,4068.1,COMPLETED
O2026091400071,C00173,P0044,MARKETPLACE,2026-09-14 09:07:51,1,373.34,COMPLETED
O2026091400072,C00096,P0089,ONLINE,2026-09-14 06:29:52,2,3039.94,CANCELLED
O2026091400073,C00284,P0022,MOBILE_APP,2026-09-14 08:35:56,4,4554.44,COMPLETED
O2026091400074,C00386,P0034,MOBILE_APP,2026-09-14 01:59:08,4,1113.16,COMPLETED
O2026091400075,C00247,P0058,MARKETPLACE,2026-09-14 10:38:32,3,822.39,COMPLETED
O2026091400076,C00250,P0032,MOBILE_APP,2026-09-14 10:19:15,5,9658.2,SHIPPED
O2026091400077,C00211,P0006,WEB,2026-09-14 08:29:16,5,8877.95,COMPLETED
O2026091400078,C00254,P0020,ONLINE,2026-09-14 17:00:37,2,4922.32,CANCELLED
O2026091400079,C00302,P0034,MARKETPLACE,2026-09-14 13:04:06,1,967.31,COMPLETED
O2026091400080,C00207,P0097,ONLINE,2026-09-14 08:39:00,5,14758.6,SHIPPED
O2026091400081,C00250,P0097,ONLINE,2026-09-14 21:48:25,4,16873.88,SHIPPED
O2026091400082,C00162,P0027,MOBILE_APP,2026-09-14 16:22:05,3,3913.77,COMPLETED
O2026091400083,C00218,P0042,MOBILE_APP,2026-09-14 13:22:06,2,9194.1,CANCELLED
O2026091400084,C00337,P0071,ONLINE,2026-09-14 08:11:47,5,15320.55,COMPLETED
O2026091400085,C00480,P0043,MOBILE_APP,2026-09-14 20:23:12,2,5929.98,SHIPPED
O2026091400086,C00270,P0079,MARKETPLACE,2026-09-14 07:08:05,4,15244.04,SHIPPED
O2026091400087,C00152,P0018,MOBILE_APP,2026-09-14 23:47:58,4,6483.72,COMPLETED
O2026091400088,C00227,P0017,WEB,2026-09-14 18:37:29,5,12640.35,SHIPPED
O2026091400089,C00362,P0001,MOBILE_APP,2026-09-14 10:26:26,3,417.72,SHIPPED
O2026091400090,C00310,P0023,WEB,2026-09-14 20:50:24,4,264.64,COMPLETED
O2026091400091,C00268,P0044,WEB,2026-09-14 23:41:07,2,3601.2,COMPLETED
O2026091400092,C00205,P0058,WEB,2026-09-14 02:50:15,3,5537.49,SHIPPED
O2026091400093,C00500,P0013,WEB,2026-09-14 01:43:08,2,1842.88,COMPLETED
O2026091400094,C00037,P0083,ONLINE,2026-09-14 11:56:04,1,1981.66,CANCELLED
O2026091400095,C00304,P0089,MARKETPLACE,2026-09-14 09:15:32,2,1519.0,COMPLETED
O2026091400096,C00404,P0075,WEB,2026-09-14 06:18:43,3,1638.06,COMPLETED
O2026091400097,C00475,P0053,MOBILE_APP,2026-09-14 21:44:46,5,17280.8,CANCELLED
O2026091400098,C00150,P0049,MOBILE_APP,2026-09-14 23:52:08,1,2779.86,COMPLETED
O2026091400099,C00188,P0012,MOBILE_APP,2026-09-14 20:12:48,4,17567.0,SHIPPED
O2026091400100,C00377,P0071,ONLINE,2026-09-14 19:34:23,2,6603.12,CANCELLED
O2026091400101,C00227,P0095,MARKETPLACE,2026-09-14 00:31:27,4,7227.0,COMPLETED
O2026091400102,C00042,P0023,MOBILE_APP,2026-09-14 22:31:12,3,1593.36,CANCELLED
O2026091400103,C00216,P0035,ONLINE,2026-09-14 05:35:41,2,9428.96,CANCELLED
O2026091400104,C00340,P0051,MOBILE_APP,2026-09-14 08:29:20,2,1988.16,COMPLETED
O2026091400105,C00156,P0060,MOBILE_APP,2026-09-14 15:21:15,4,4967.2,COMPLETED
O2026091400106,C00125,P0091,MARKETPLACE,2026-09-14 09:10:32,3,8979.21,COMPLETED
O2026091400107,C00220,P0025,WEB,2026-09-14 03:14:33,5,11231.4,COMPLETED
O2026091400108,C00181,P0055,WEB,2026-09-14 12:49:40,1,4393.62,COMPLETED
O2026091400109,C00317,P0003,ONLINE,2026-09-14 00:12:17,5,3738.45,CANCELLED
O2026091400110,C00357,P0078,MARKETPLACE,2026-09-14 18:18:31,2,7423.84,COMPLETED
O2026091400111,C00266,P0018,MARKETPLACE,2026-09-14 05:14:27,1,702.16,CANCELLED
O2026091400112,C00473,P0075,WEB,2026-09-14 01:56:20,2,6290.1,COMPLETED
O2026091400113,C00365,P0012,MOBILE_APP,2026-09-14 11:37:41,1,736.26,COMPLETED
O2026091400114,C00032,P0012,MOBILE_APP,2026-09-14 05:11:57,3,10944.06,COMPLETED
O2026091400115,C00362,P0063,MARKETPLACE,2026-09-14 10:13:56,2,6977.98,CANCELLED
O2026091400116,C00102,P0011,WEB,2026-09-14 06:57:23,2,1985.86,COMPLETED
O2026091400117,C00356,P0045,MOBILE_APP,2026-09-14 09:18:12,5,12697.15,SHIPPED
O2026091400118,C00315,P0095,ONLINE,2026-09-14 03:19:28,3,4258.05,CANCELLED
O2026091400119,C00450,P0089,MOBILE_APP,2026-09-14 09:01:51,3,10465.56,COMPLETED
O2026091400120,C00245,P0024,MOBILE_APP,2026-09-14 23:00:38,2,3768.04,CANCELLED
O2026091400121,C00055,P0020,MOBILE_APP,2026-09-14 18:47:37,4,7749.56,COMPLETED
O2026091400122,C00028,P0021,MOBILE_APP,2026-09-14 04:06:52,1,291.6,COMPLETED
O2026091400123,C00055,P0047,MOBILE_APP,2026-09-14 23:58:27,4,12069.2,SHIPPED
O2026091400124,C00158,P0036,WEB,2026-09-14 01:05:42,3,7520.31,SHIPPED
O2026091400125,C00060,P0003,ONLINE,2026-09-14 13:35:09,3,10856.31,COMPLETED
O2026091400126,C00373,P0078,ONLINE,2026-09-14 12:48:41,3,11172.09,COMPLETED
O2026091400127,C00183,P0052,MOBILE_APP,2026-09-14 18:41:05,2,1470.02,SHIPPED
O2026091400128,C00292,P0007,MOBILE_APP,2026-09-14 06:02:21,4,17721.68,SHIPPED
O2026091400129,C00025,P0039,MOBILE_APP,2026-09-14 09:31:57,1,4213.51,COMPLETED
O2026091400130,C00171,P0057,ONLINE,2026-09-14 01:09:32,2,5959.6,CANCELLED
O2026091400131,C00366,P0069,MARKETPLACE,2026-09-14 23:07:08,4,4338.2,COMPLETED
O2026091400132,C00214,P0011,WEB,2026-09-14 02:18:16,2,5865.8,SHIPPED
O2026091400133,C00443,P0030,MARKETPLACE,2026-09-14 05:48:48,2,945.84,COMPLETED
O2026091400134,C00143,P0048,ONLINE,2026-09-14 01:30:46,4,7070.28,COMPLETED
O2026091400135,C00030,P0023,MOBILE_APP,2026-09-14 06:26:07,3,5132.79,COMPLETED
O2026091400136,C00494,P0019,MOBILE_APP,2026-09-14 07:16:28,3,6753.87,COMPLETED
O2026091400137,C00327,P0024,WEB,2026-09-14 10:24:42,3,2477.13,COMPLETED
O2026091400138,C00276,P0068,ONLINE,2026-09-14 06:48:23,2,5964.6,SHIPPED
O2026091400139,C00037,P0013,MARKETPLACE,2026-09-14 21:04:25,3,9713.31,SHIPPED
O2026091400140,C00285,P0017,ONLINE,2026-09-14 11:05:20,3,12162.09,COMPLETED
O2026091400141,C00296,P0018,MOBILE_APP,2026-09-14 01:55:23,3,2202.72,CANCELLED
O2026091400142,C00464,P0061,WEB,2026-09-14 07:17:27,1,2249.49,COMPLETED
O2026091400143,C00075,P0066,ONLINE,2026-09-14 12:31:44,3,3146.61,SHIPPED
O2026091400144,C00283,P0028,WEB,2026-09-14 09:11:45,3,7661.01,COMPLETED
O2026091400145,C00006,P0031,WEB,2026-09-14 02:16:01,2,4351.02,CANCELLED
O2026091400146,C00388,P0059,MARKETPLACE,2026-09-14 09:44:05,1,3046.95,CANCELLED
O2026091400147,C00385,P0020,MOBILE_APP,2026-09-14 21:09:18,2,2150.5,COMPLETED
O2026091400148,C00408,P0037,WEB,2026-09-14 04:16:13,3,5331.09,SHIPPED
O2026091400149,C00338,P0071,WEB,2026-09-14 21:40:06,3,1530.66,CANCELLED
O2026091400150,C00381,P0015,MARKETPLACE,2026-09-14 09:54:57,5,15977.55,CANCELLED
O2026091400151,C00230,P0033,MARKETPLACE,2026-09-14 09:41:53,5,15108.65,COMPLETED
O2026091400152,C00229,P0077,ONLINE,2026-09-14 13:16:51,4,8970.72,COMPLETED
O2026091400153,C00211,P0082,MOBILE_APP,2026-09-14 17:25:30,5,10836.2,SHIPPED
O2026091400154,C00188,P0011,WEB,2026-09-14 21:41:17,2,206.74,COMPLETED
O2026091400155,C00353,P0017,MARKETPLACE,2026-09-14 16:47:35,3,2543.4,SHIPPED
O2026091400156,C00317,P0092,MARKETPLACE,2026-09-14 00:44:58,2,5264.5,COMPLETED
O2026091400157,C00109,P0005,MOBILE_APP,2026-09-14 18:55:26,1,1185.81,COMPLETED
O2026091400158,C00095,P0006,MOBILE_APP,2026-09-14 06:25:47,5,20209.6,CANCELLED
O2026091400159,C00106,P0014,MOBILE_APP,2026-09-14 13:12:54,5,13751.7,COMPLETED
O2026091400160,C00470,P0080,WEB,2026-09-14 15:00:51,1,968.02,CANCELLED
O2026091400161,C00341,P0005,MARKETPLACE,2026-09-14 01:01:34,3,6360.9,SHIPPED
O2026091400162,C00078,P0024,ONLINE,2026-09-14 00:07:37,1,2798.23,CANCELLED
O2026091400163,C00008,P0027,MOBILE_APP,2026-09-14 22:32:37,2,3439.68,COMPLETED
O2026091400164,C00132,P0058,ONLINE,2026-09-14 08:14:16,4,7218.64,COMPLETED
O2026091400165,C00272,P0093,ONLINE,2026-09-14 16:30:57,5,2462.15,CANCELLED
O2026091400166,C00260,P0005,MOBILE_APP,2026-09-14 06:38:30,3,3868.32,SHIPPED
O2026091400167,C00264,P0013,MARKETPLACE,2026-09-14 18:11:02,4,9976.92,CANCELLED
O2026091400168,C00367,P0029,MARKETPLACE,2026-09-14 01:39:26,1,228.0,COMPLETED
O2026091400169,C00132,P0017,MOBILE_APP,2026-09-14 05:41:29,4,7841.76,SHIPPED
O2026091400170,C00219,P0023,MARKETPLACE,2026-09-14 12:38:52,3,5073.99,COMPLETED
O2026091400171,C00479,P0022,WEB,2026-09-14 23:45:54,3,12020.52,CANCELLED
O2026091400172,C00323,P0077,WEB,2026-09-14 14:11:53,4,14595.88,CANCELLED
O2026091400173,C00233,P0082,ONLINE,2026-09-14 23:58:14,2,8155.3,CANCELLED
O2026091400174,C00026,P0094,MARKETPLACE,2026-09-14 23:18:41,3,14487.21,CANCELLED
O2026091400175,C00438,P0023,ONLINE,2026-09-14 07:03:47,3,6489.66,SHIPPED
O2026091400176,C00391,P0011,WEB,2026-09-14 10:05:30,1,908.98,COMPLETED
O2026091400177,C00050,P0064,MOBILE_APP,2026-09-14 23:21:49,3,9971.55,CANCELLED
O2026091400178,C00217,P0074,ONLINE,2026-09-14 06:32:52,3,419.61,COMPLETED
O2026091400179,C00284,P0057,MOBILE_APP,2026-09-14 18:29:53,4,2075.44,SHIPPED
O2026091400180,C00192,P0097,MARKETPLACE,2026-09-14 13:51:50,5,24156.55,CANCELLED
O2026091400181,C00471,P0066,MOBILE_APP,2026-09-14 13:29:05,4,5380.8,CANCELLED
O2026091400182,C00031,P0072,MOBILE_APP,2026-09-14 19:43:41,3,7682.13,CANCELLED
O2026091400183,C00193,P0043,ONLINE,2026-09-14 03:45:59,4,16486.96,SHIPPED
O2026091400184,C00151,P0005,WEB,2026-09-14 11:13:34,3,10252.14,SHIPPED
O2026091400185,C00306,P0088,ONLINE,2026-09-14 14:10:48,2,7450.64,COMPLETED
O2026091400186,C00112,P0012,MOBILE_APP,2026-09-14 03:03:30,2,3491.02,SHIPPED
O2026091400187,C00463,P0081,WEB,2026-09-14 21:45:45,1,3318.22,SHIPPED
O2026091400188,C00420,P0094,MARKETPLACE,2026-09-14 22:23:54,5,9636.05,COMPLETED
O2026091400189,C00115,P0086,WEB,2026-09-14 06:03:36,2,7043.72,COMPLETED
O2026091400190,C00227,P0068,ONLINE,2026-09-14 21:39:19,2,8196.06,COMPLETED
O2026091400191,C00171,P0097,ONLINE,2026-09-14 23:03:00,1,1576.74,COMPLETED
O2026091400192,C00484,P0021,WEB,2026-09-14 15:57:22,2,4240.16,COMPLETED
O2026091400193,C00488,P0086,MARKETPLACE,2026-09-14 12:42:28,2,723.66,SHIPPED
O2026091400194,C00283,P0031,MARKETPLACE,2026-09-14 16:56:26,5,363.55,COMPLETED
O2026091400195,C00151,P0040,WEB,2026-09-14 19:17:15,1,1916.32,COMPLETED
O2026091400196,C00456,P0022,WEB,2026-09-14 13:00:58,3,4965.45,COMPLETED
O2026091400197,C00247,P0040,MOBILE_APP,2026-09-14 17:31:59,1,2407.24,COMPLETED
O2026091400198,C00154,P0062,ONLINE,2026-09-14 23:07:18,3,6338.43,COMPLETED
O2026091400199,C00303,P0093,MOBILE_APP,2026-09-14 17:33:49,3,14437.95,SHIPPED
O2026091400200,C00361,P0005,MOBILE_APP,2026-09-14 16:17:24,1,2871.39,SHIPPED
O2026091400201,C00414,P0081,MARKETPLACE,2026-09-14 16:40:21,3,8290.62,CANCELLED
O2026091400202,C00339,P0064,MARKETPLACE,2026-09-14 21:59:48,4,15567.52,SHIPPED
O2026091400203,C00423,P0015,ONLINE,2026-09-14 11:32:00,1,343.38,COMPLETED
O2026091400204,C00179,P0043,ONLINE,2026-09-14 12:01:40,3,7468.08,COMPLETED
O2026091400205,C00168,P0008,MOBILE_APP,2026-09-14 09:07:18,5,12883.4,SHIPPED
O2026091400206,C00328,P0090,MARKETPLACE,2026-09-14 22:18:13,2,6327.32,COMPLETED
O2026091400207,C00329,P0022,ONLINE,2026-09-14 12:38:32,3,10005.63,SHIPPED
O2026091400208,C00026,P0030,MOBILE_APP,2026-09-14 17:28:10,5,8324.1,SHIPPED
O2026091400209,C00247,P0093,ONLINE,2026-09-14 00:23:33,4,8634.68,CANCELLED
O2026091400210,C00175,P0072,ONLINE,2026-09-14 21:56:03,2,5902.6,CANCELLED
O2026091400211,C00378,P0069,ONLINE,2026-09-14 16:24:40,3,9980.16,COMPLETED
O2026091400212,C00321,P0028,ONLINE,2026-09-14 11:14:45,1,4419.0,COMPLETED
O2026091400213,C00063,P0067,MARKETPLACE,2026-09-14 17:02:41,2,9435.42,COMPLETED
O2026091400214,C00164,P0092,MARKETPLACE,2026-09-14 05:07:26,1,2415.31,SHIPPED
O2026091400215,C00124,P0022,MOBILE_APP,2026-09-14 17:22:14,4,9899.96,COMPLETED
O2026091400216,C00026,P0098,WEB,2026-09-14 19:18:15,5,8090.2,SHIPPED
O2026091400217,C00162,P0036,MARKETPLACE,2026-09-14 20:48:28,4,17130.2,COMPLETED
O2026091400218,C00275,P0022,MOBILE_APP,2026-09-14 09:46:04,2,645.6,COMPLETED
O2026091400219,C00229,P0014,MOBILE_APP,2026-09-14 04:17:24,3,731.94,COMPLETED
O2026091400220,C00366,P0050,ONLINE,2026-09-14 16:21:06,4,9157.48,COMPLETED
O2026091400221,C00375,P0062,MOBILE_APP,2026-09-14 05:55:25,4,11675.48,SHIPPED
O2026091400222,C00124,P0062,MARKETPLACE,2026-09-14 02:23:07,4,9234.4,CANCELLED
O2026091400223,C00145,P0095,MOBILE_APP,2026-09-14 04:50:17,5,3267.65,COMPLETED
O2026091400224,C00423,P0092,MOBILE_APP,2026-09-14 15:10:07,3,2956.17,SHIPPED
O2026091400225,C00189,P0091,WEB,2026-09-14 03:23:05,4,10745.92,COMPLETED
O2026091400226,C00123,P0067,MARKETPLACE,2026-09-14 13:22:13,4,16426.16,SHIPPED
O2026091400227,C00230,P0046,WEB,2026-09-14 22:11:19,5,11587.8,CANCELLED
O2026091400228,C00240,P0023,ONLINE,2026-09-14 09:49:41,5,15980.85,SHIPPED
O2026091400229,C00425,P0038,MARKETPLACE,2026-09-14 12:50:56,5,12339.65,COMPLETED
O2026091400230,C00228,P0094,MOBILE_APP,2026-09-14 16:42:15,4,12872.2,SHIPPED
O2026091400231,C00091,P0056,MARKETPLACE,2026-09-14 13:04:56,5,19614.05,SHIPPED
O2026091400232,C00185,P0085,MOBILE_APP,2026-09-14 15:18:00,2,8738.9,COMPLETED
O2026091400233,C00127,P0090,MOBILE_APP,2026-09-14 12:59:05,1,1017.54,CANCELLED
O2026091400234,C00178,P0040,ONLINE,2026-09-14 23:24:40,1,2724.05,COMPLETED
O2026091400235,C00204,P0060,MOBILE_APP,2026-09-14 05:55:12,1,2010.75,COMPLETED
O2026091400236,C00218,P0009,MOBILE_APP,2026-09-14 15:02:37,3,8238.39,COMPLETED
O2026091400237,C00255,P0089,MOBILE_APP,2026-09-14 08:42:37,2,5750.92,SHIPPED
O2026091400238,C00198,P0008,MARKETPLACE,2026-09-14 15:55:10,4,11426.92,COMPLETED
O2026091400239,C00455,P0030,ONLINE,2026-09-14 01:21:09,2,3240.12,COMPLETED
O2026091400240,C00430,P0036,ONLINE,2026-09-14 02:38:44,4,2445.72,COMPLETED
O2026091400241,C00083,P0044,MARKETPLACE,2026-09-14 21:49:50,2,836.56,CANCELLED
O2026091400242,C00314,P0060,WEB,2026-09-14 00:05:01,1,4604.64,CANCELLED
O2026091400243,C00101,P0050,WEB,2026-09-14 15:32:28,5,5814.95,SHIPPED
O2026091400244,C00436,P0037,MARKETPLACE,2026-09-14 17:19:21,3,3409.11,CANCELLED
O2026091400245,C00065,P0068,MOBILE_APP,2026-09-14 03:49:43,4,748.64,SHIPPED
O2026091400246,C00358,P0093,MOBILE_APP,2026-09-14 23:24:25,2,3457.86,COMPLETED
O2026091400247,C00207,P0022,MARKETPLACE,2026-09-14 16:41:10,3,3088.68,COMPLETED
O2026091400248,C00245,P0081,MOBILE_APP,2026-09-14 21:25:24,4,4855.68,COMPLETED
O2026091400249,C00457,P0087,MOBILE_APP,2026-09-14 04:23:58,5,12499.95,COMPLETED
O2026091400250,C00444,P0095,MOBILE_APP,2026-09-14 17:57:41,3,5098.35,COMPLETED
O2026091400251,C00358,P0066,MOBILE_APP,2026-09-14 21:05:50,4,17706.84,COMPLETED
O2026091400252,C00381,P0088,WEB,2026-09-14 09:08:15,4,4732.16,COMPLETED
O2026091400253,C00122,P0094,MOBILE_APP,2026-09-14 10:16:20,3,2171.49,COMPLETED
O2026091400254,C00320,P0070,MARKETPLACE,2026-09-14 14:44:03,3,8094.21,COMPLETED
O2026091400255,C00483,P0099,WEB,2026-09-14 22:41:32,3,1076.22,CANCELLED
O2026091400256,C00238,P0098,WEB,2026-09-14 02:00:45,5,8535.95,CANCELLED
