order_id,customer_id,product_id,channel,order_timestamp,quantity,order_amount,order_status
O10001,C1001,P1001,ONLINE,2026-09-01 09:15:00,1,65000,COMPLETED
O10002,C1002,P1003,ONLINE,2026-09-01 10:20:00,1,62000,COMPLETED
O10003,C1003,P1006,ONLINE,2026-09-01 11:05:00,2,2998,COMPLETED
O10004,C1001,P1007,ONLINE,2026-09-02 14:10:00,1,7995,COMPLETED
O10005,C1004,P1005,ONLINE,2026-09-02 16:30:00,1,75000,CANCELLED
O10006,C1005,P1002,ONLINE,2026-09-03 12:40:00,1,58000,COMPLETED
O10007,C1006,P1008,ONLINE,2026-09-03 18:05:00,2,7998,COMPLETED
O10008,C1008,P1004,ONLINE,2026-09-04 19:20:00,1,68000,COMPLETED
O10009,C1007,P1006,ONLINE,2026-09-05 09:45:00,3,4497,COMPLETED
O10010,C1002,P1008,ONLINE,2026-09-05 13:15:00,1,3999,COMPLETED
