payment_id,order_id,customer_id,payment_amount,payment_method,payment_status,payment_timestamp
PAY001,O10001,C1001,65000,CARD,SUCCESS,2026-09-01 09:16:05
PAY002,O10002,C1002,62000,UPI,SUCCESS,2026-09-01 10:21:12
PAY003,O10003,C1003,2998,UPI,SUCCESS,2026-09-01 11:06:33
PAY004,O10004,C1001,7995,CARD,SUCCESS,2026-09-02 14:11:20
PAY005,O10005,C1004,75000,CARD,REFUNDED,2026-09-02 16:31:45
PAY006,O10006,C1005,58000,UPI,SUCCESS,2026-09-03 12:41:18
PAY007,O10007,C1006,7998,CARD,SUCCESS,2026-09-03 18:06:10
PAY008,O10008,C1008,68000,UPI,SUCCESS,2026-09-04 19:21:02
PAY009,O10009,C1007,4497,CASH,SUCCESS,2026-09-05 09:46:15
PAY010,O10010,C1002,3999,UPI,SUCCESS,2026-09-05 13:16:25
