product_id,product_name,category,subcategory,unit_price,tax_rate_pct,brand,status
P0001,Kitchen Product 001,Home,Kitchen,1212.49,15.83,StyleHub,ACTIVE
P0002,Haircare Product 002,Beauty,Haircare,1460.39,14.37,StyleHub,ACTIVE
P0003,Furniture Product 003,Home,Furniture,2925.23,10.28,Nova,ACTIVE
P0004,Menswear Product 004,Fashion,Menswear,2542.37,16.79,StyleHub,ACTIVE
P0005,Audio Product 005,Electronics,Audio,4737.28,5.28,Apex,ACTIVE
P0006,Footwear Product 006,Fashion,Footwear,992.78,3.33,Nova,ACTIVE
P0007,Womenswear Product 007,Fashion,Womenswear,880.86,0.08,FreshMart,ACTIVE
P0008,Personal Care Product 008,Beauty,Personal Care,4489.89,6.62,HomePro,ACTIVE
P0009,Furniture Product 009,Home,Furniture,1461.95,12.17,FreshMart,ACTIVE
P0010,Menswear Product 010,Fashion,Menswear,3362.81,1.43,FreshMart,ACTIVE
P0011,Womenswear Product 011,Fashion,Womenswear,3699.16,9.94,HomePro,ACTIVE
P0012,Personal Care Product 012,Beauty,Personal Care,2140.15,7.12,HomePro,ACTIVE
P0013,Skincare Product 013,Beauty,Skincare,2906.65,4.49,Nova,ACTIVE
P0014,Audio Product 014,Electronics,Audio,3120.7,12.33,HomePro,ACTIVE
P0015,Decor Product 015,Home,Decor,4748.14,0.31,Apex,ACTIVE
P0016,Footwear Product 016,Fashion,Footwear,471.44,17.01,Nova,ACTIVE
P0017,Skincare Product 017,Beauty,Skincare,1115.12,8.41,StyleHub,ACTIVE
P0018,Footwear Product 018,Fashion,Footwear,451.42,7.55,Apex,ACTIVE
P0019,Furniture Product 019,Home,Furniture,457.27,6.71,StyleHub,ACTIVE
P0020,Personal Care Product 020,Beauty,Personal Care,1884.79,5.68,HomePro,ACTIVE
P0021,Laptop Product 021,Electronics,Laptop,1927.4,1.46,Apex,ACTIVE
P0022,Furniture Product 022,Home,Furniture,1155.71,15.33,Prime,ACTIVE
P0023,Mobile Product 023,Electronics,Mobile,2920.58,4.67,Prime,ACTIVE
P0024,Audio Product 024,Electronics,Audio,4706.19,11.38,Apex,ACTIVE
P0025,Skincare Product 025,Beauty,Skincare,4836.11,6.41,Prime,ACTIVE
P0026,Staples Product 026,Grocery,Staples,4153.1,7.53,Apex,ACTIVE
P0027,Beverages Product 027,Grocery,Beverages,2416.44,0.6,Prime,ACTIVE
P0028,Mobile Product 028,Electronics,Mobile,727.45,7.49,Nova,ACTIVE
P0029,Furniture Product 029,Home,Furniture,1233.98,12.8,FreshMart,ACTIVE
P0030,Footwear Product 030,Fashion,Footwear,899.17,9.2,HomePro,ACTIVE
P0031,Staples Product 031,Grocery,Staples,577.43,10.32,StyleHub,ACTIVE
P0032,Haircare Product 032,Beauty,Haircare,1689.23,13.14,HomePro,ACTIVE
P0033,Skincare Product 033,Beauty,Skincare,3518.06,5.05,Nova,ACTIVE
P0034,Footwear Product 034,Fashion,Footwear,4305.26,15.93,HomePro,ACTIVE
P0035,Personal Care Product 035,Beauty,Personal Care,4233.33,2.65,HomePro,ACTIVE
P0036,Mobile Product 036,Electronics,Mobile,3510.75,15.63,Apex,ACTIVE
P0037,Snacks Product 037,Grocery,Snacks,1579.54,9.17,Apex,ACTIVE
P0038,Mobile Product 038,Electronics,Mobile,4180.81,10.11,HomePro,ACTIVE
P0039,Womenswear Product 039,Fashion,Womenswear,2209.98,12.89,Prime,ACTIVE
P0040,Laptop Product 040,Electronics,Laptop,4276.01,14.0,HomePro,ACTIVE
P0041,Footwear Product 041,Fashion,Footwear,1366.9,5.71,Prime,ACTIVE
P0042,Furniture Product 042,Home,Furniture,778.57,10.63,Apex,ACTIVE
P0043,Staples Product 043,Grocery,Staples,2036.31,9.12,UrbanX,ACTIVE
P0044,Furniture Product 044,Home,Furniture,4333.83,5.58,StyleHub,ACTIVE
P0045,Footwear Product 045,Fashion,Footwear,732.29,0.81,Apex,ACTIVE
P0046,Laptop Product 046,Electronics,Laptop,4871.17,9.55,Nova,ACTIVE
P0047,Kitchen Product 047,Home,Kitchen,4882.21,12.41,Prime,ACTIVE
P0048,Decor Product 048,Home,Decor,2078.8,1.16,StyleHub,ACTIVE
P0049,Womenswear Product 049,Fashion,Womenswear,2414.56,10.76,HomePro,ACTIVE
P0050,Haircare Product 050,Beauty,Haircare,1478.31,9.26,HomePro,ACTIVE
P0051,Furniture Product 051,Home,Furniture,3259.26,3.66,Apex,ACTIVE
P0052,Furniture Product 052,Home,Furniture,4988.63,6.64,HomePro,ACTIVE
P0053,Womenswear Product 053,Fashion,Womenswear,1726.61,1.22,Nova,ACTIVE
P0054,Beverages Product 054,Grocery,Beverages,4285.92,0.37,Apex,ACTIVE
P0055,Personal Care Product 055,Beauty,Personal Care,4196.17,6.39,FreshMart,ACTIVE
P0056,Laptop Product 056,Electronics,Laptop,3951.39,5.7,Prime,ACTIVE
P0057,Audio Product 057,Electronics,Audio,1659.57,16.16,Apex,ACTIVE
P0058,Womenswear Product 058,Fashion,Womenswear,2195.79,9.57,Nova,ACTIVE
P0059,Kitchen Product 059,Home,Kitchen,961.11,3.19,StyleHub,ACTIVE
P0060,Menswear Product 060,Fashion,Menswear,1450.34,1.95,Apex,ACTIVE
P0061,Audio Product 061,Electronics,Audio,1219.57,9.62,FreshMart,ACTIVE
P0062,Footwear Product 062,Fashion,Footwear,3089.42,10.46,UrbanX,ACTIVE
P0063,Staples Product 063,Grocery,Staples,4540.81,17.05,UrbanX,ACTIVE
P0064,Kitchen Product 064,Home,Kitchen,889.02,4.18,UrbanX,ACTIVE
P0065,Mobile Product 065,Electronics,Mobile,4942.4,6.06,StyleHub,ACTIVE
P0066,Furniture Product 066,Home,Furniture,4067.59,11.0,Nova,ACTIVE
P0067,Kitchen Product 067,Home,Kitchen,3257.61,2.73,Nova,ACTIVE
P0068,Snacks Product 068,Grocery,Snacks,4180.92,13.85,Prime,ACTIVE
P0069,Womenswear Product 069,Fashion,Womenswear,246.14,9.19,Prime,ACTIVE
P0070,Personal Care Product 070,Beauty,Personal Care,3761.34,12.3,HomePro,ACTIVE
P0071,Snacks Product 071,Grocery,Snacks,292.65,2.33,FreshMart,ACTIVE
P0072,Womenswear Product 072,Fashion,Womenswear,652.45,1.38,UrbanX,ACTIVE
P0073,Personal Care Product 073,Beauty,Personal Care,748.31,12.04,FreshMart,ACTIVE
P0074,Mobile Product 074,Electronics,Mobile,2369.76,4.3,Apex,ACTIVE
