sale_id,store_id,customer_id,product_id,sale_timestamp,quantity,sale_amount,payment_method
S10001,ST001,C1001,P1006,2026-09-01 11:30:00,2,2998,CASH
S10002,ST002,C1002,P1007,2026-09-01 15:45:00,1,7995,CARD
S10003,ST001,C1003,P1008,2026-09-02 12:10:00,1,3999,UPI
S10004,ST003,C1005,P1002,2026-09-02 17:20:00,1,58000,CARD
S10005,ST004,C1007,P1006,2026-09-03 10:25:00,2,2998,UPI
S10006,ST002,C1008,P1008,2026-09-03 16:15:00,1,3999,CARD
S10007,ST001,C1006,P1007,2026-09-04 13:40:00,1,7995,UPI
S10008,ST005,C1004,P1005,2026-09-04 18:50:00,1,75000,CARD
S10009,ST003,C1005,P1006,2026-09-05 11:10:00,3,4497,CASH
S10010,ST004,C1007,P1008,2026-09-05 15:30:00,1,3999,UPI
