sale_id,store_id,customer_id,product_id,sale_timestamp,quantity,sale_amount,payment_method
SS2026091800001,S015,C0084,P0075,2026-09-18 23:49:07,1,3960.05,NET_BANKING
SS2026091800002,S013,C0007,P0040,2026-09-18 03:57:12,4,17104.04,NET_BANKING
SS2026091800003,S029,C0002,P0136,2026-09-18 03:52:24,4,14410.68,UPI
SS2026091800004,S001,C0086,P0012,2026-09-18 23:47:50,5,10700.75,NET_BANKING
SS2026091800005,S028,C0033,P0140,2026-09-18 05:03:18,4,15352.2,CARD
SS2026091800006,S024,C0046,P0126,2026-09-18 16:41:17,3,13325.79,UPI
SS2026091800007,S022,C0038,P0041,2026-09-18 08:44:38,3,4100.7,CARD
SS2026091800008,S007,C0001,P0031,2026-09-18 09:44:29,4,2309.72,CASH
SS2026091800009,S015,C0037,P0052,2026-09-18 09:17:36,5,24943.15,CASH
SS2026091800010,S001,C0085,P0025,2026-09-18 15:15:00,5,24180.55,UPI
SS2026091800011,S010,C0008,P0042,2026-09-18 19:49:12,5,3892.85,UPI
SS2026091800012,S021,C0062,P0039,2026-09-18 09:54:32,5,11049.9,UPI
SS2026091800013,S021,C0041,P0002,2026-09-18 17:35:28,2,2920.78,WALLET
SS2026091800014,S021,C0046,P0097,2026-09-18 08:35:37,1,2695.48,NET_BANKING
SS2026091800015,S011,C0006,P0021,2026-09-18 13:47:57,1,1927.4,UPI
SS2026091800016,S026,C0096,P0052,2026-09-18 14:11:21,5,24943.15,CASH
SS2026091800017,S023,C0070,P0055,2026-09-18 14:44:55,5,20980.85,CASH
SS2026091800018,S015,C0071,P0063,2026-09-18 12:17:27,5,22704.05,CARD
SS2026091800019,S030,C0083,P0029,2026-09-18 06:07:40,5,6169.9,UPI
SS2026091800020,S029,C0090,P0038,2026-09-18 00:58:58,3,12542.43,CASH
SS2026091800021,S023,C0062,P0042,2026-09-18 18:05:55,4,3114.28,CASH
SS2026091800022,S029,C0074,P0025,2026-09-18 00:47:00,1,4836.11,CASH
SS2026091800023,S005,C0074,P0143,2026-09-18 07:32:12,4,11201.68,NET_BANKING
SS2026091800024,S004,C0044,P0011,2026-09-18 03:23:20,2,7398.32,UPI
SS2026091800025,S025,C0061,P0145,2026-09-18 10:29:47,4,18213.8,WALLET
SS2026091800026,S024,C0036,P0057,2026-09-18 05:32:18,1,1659.57,UPI
SS2026091800027,S012,C0068,P0081,2026-09-18 01:33:36,2,6412.1,NET_BANKING
SS2026091800028,S024,C0001,P0088,2026-09-18 10:38:47,5,10064.95,WALLET
SS2026091800029,S002,C0024,P0096,2026-09-18 05:21:14,3,3304.32,CASH
SS2026091800030,S025,C0045,P0093,2026-09-18 06:37:08,5,18041.65,CASH
SS2026091800031,S005,C0060,P0046,2026-09-18 01:25:34,2,9742.34,CASH
SS2026091800032,S013,C0082,P0140,2026-09-18 05:39:36,3,11514.15,NET_BANKING
SS2026091800033,S019,C0059,P0132,2026-09-18 13:36:12,5,13023.6,WALLET
SS2026091800034,S016,C0092,P0011,2026-09-18 03:10:39,4,14796.64,CARD
SS2026091800035,S027,C0008,P0084,2026-09-18 23:41:32,3,7381.74,WALLET
SS2026091800036,S025,C0050,P0106,2026-09-18 20:41:37,2,1149.1,WALLET
SS2026091800037,S014,C0011,P0106,2026-09-18 02:20:19,2,1149.1,CARD
SS2026091800038,S025,C0069,P0008,2026-09-18 03:02:15,5,22449.45,UPI
SS2026091800039,S018,C0058,P0131,2026-09-18 00:27:28,1,3416.84,CASH
SS2026091800040,S027,C0007,P0071,2026-09-18 19:09:31,1,292.65,CARD
SS2026091800041,S020,C0082,P0012,2026-09-18 02:00:21,5,10700.75,UPI
SS2026091800042,S006,C0071,P0076,2026-09-18 06:30:11,2,303.46,CASH
SS2026091800043,S022,C0027,P0071,2026-09-18 12:57:13,1,292.65,NET_BANKING
SS2026091800044,S024,C0049,P0087,2026-09-18 17:36:03,5,15435.85,CASH
SS2026091800045,S027,C0014,P0083,2026-09-18 03:49:53,5,5589.55,CARD
SS2026091800046,S015,C0055,P0046,2026-09-18 04:35:27,4,19484.68,NET_BANKING
SS2026091800047,S017,C0025,P0004,2026-09-18 02:29:04,4,10169.48,WALLET
SS2026091800048,S023,C0043,P0109,2026-09-18 00:23:07,1,3510.24,WALLET
SS2026091800049,S030,C0058,P0002,2026-09-18 08:09:24,2,2920.78,CARD
SS2026091800050,S020,C0059,P0031,2026-09-18 12:13:39,3,1732.29,CASH
SS2026091800051,S018,C0076,P0150,2026-09-18 17:20:42,5,11516.75,CASH
SS2026091800052,S011,C0098,P0002,2026-09-18 00:29:00,5,7301.95,NET_BANKING
SS2026091800053,S029,C0057,P0034,2026-09-18 15:06:11,1,4305.26,WALLET
SS2026091800054,S029,C0033,P0012,2026-09-18 16:19:57,1,2140.15,UPI
SS2026091800055,S027,C0041,P0037,2026-09-18 08:28:24,1,1579.54,UPI
SS2026091800056,S020,C0082,P0143,2026-09-18 04:01:36,4,11201.68,CARD
SS2026091800057,S003,C0052,P0139,2026-09-18 18:55:26,1,1236.42,CARD
SS2026091800058,S001,C0006,P0096,2026-09-18 03:54:46,1,1101.44,NET_BANKING
SS2026091800059,S014,C0060,P0126,2026-09-18 10:51:25,5,22209.65,CASH
SS2026091800060,S020,C0007,P0046,2026-09-18 20:52:09,3,14613.51,WALLET
SS2026091800061,S009,C0005,P0016,2026-09-18 15:14:33,5,2357.2,CASH
SS2026091800062,S021,C0036,P0145,2026-09-18 16:26:54,2,9106.9,NET_BANKING
SS2026091800063,S010,C0092,P0096,2026-09-18 11:43:46,1,1101.44,UPI
SS2026091800064,S015,C0044,P0133,2026-09-18 18:01:25,5,20971.3,WALLET
SS2026091800065,S022,C0016,P0103,2026-09-18 05:37:14,5,2095.2,NET_BANKING
SS2026091800066,S020,C0001,P0108,2026-09-18 00:20:21,3,11421.09,WALLET
SS2026091800067,S009,C0032,P0050,2026-09-18 07:16:36,4,5913.24,CARD
SS2026091800068,S013,C0024,P0096,2026-09-18 16:13:38,3,3304.32,WALLET
SS2026091800069,S012,C0064,P0129,2026-09-18 19:46:18,3,3164.31,CASH
SS2026091800070,S029,C0083,P0135,2026-09-18 16:07:48,4,13516.08,NET_BANKING
SS2026091800071,S023,C0006,P0052,2026-09-18 15:57:17,5,24943.15,UPI
SS2026091800072,S015,C0013,P0130,2026-09-18 18:20:10,2,8362.48,CASH
SS2026091800073,S025,C0020,P0004,2026-09-18 16:21:24,4,10169.48,NET_BANKING
SS2026091800074,S012,C0055,P0083,2026-09-18 10:31:59,4,4471.64,CARD
SS2026091800075,S004,C0073,P0127,2026-09-18 17:34:57,3,4731.06,UPI
SS2026091800076,S003,C0028,P0094,2026-09-18 20:46:08,2,141.06,CARD
SS2026091800077,S003,C0096,P0031,2026-09-18 05:44:45,4,2309.72,WALLET
SS2026091800078,S024,C0041,P0100,2026-09-18 06:17:08,5,1437.55,WALLET
SS2026091800079,S026,C0058,P0038,2026-09-18 18:57:07,2,8361.62,CASH
SS2026091800080,S021,C0095,P0040,2026-09-18 01:56:14,2,8552.02,CARD
SS2026091800081,S020,C0029,P0044,2026-09-18 00:50:22,4,17335.32,UPI
SS2026091800082,S030,C0060,P0105,2026-09-18 13:07:57,5,8841.45,CARD
SS2026091800083,S015,C0055,P0048,2026-09-18 13:59:55,3,6236.4,UPI
SS2026091800084,S014,C0068,P0102,2026-09-18 21:34:48,3,9076.56,CARD
SS2026091800085,S014,C0035,P0146,2026-09-18 16:17:57,5,14871.5,CARD
SS2026091800086,S025,C0007,P0098,2026-09-18 23:18:16,4,13477.52,NET_BANKING
SS2026091800087,S011,C0060,P0096,2026-09-18 12:47:41,1,1101.44,WALLET
SS2026091800088,S030,C0099,P0078,2026-09-18 13:34:33,3,12120.96,CARD
SS2026091800089,S024,C0041,P0015,2026-09-18 03:49:29,4,18992.56,CASH
SS2026091800090,S018,C0036,P0130,2026-09-18 12:50:14,5,20906.2,NET_BANKING
SS2026091800091,S011,C0055,P0087,2026-09-18 17:52:05,2,6174.34,CARD
SS2026091800092,S018,C0046,P0048,2026-09-18 16:58:43,1,2078.8,CASH
SS2026091800093,S003,C0016,P0039,2026-09-18 16:10:40,2,4419.96,WALLET
SS2026091800094,S008,C0081,P0003,2026-09-18 20:30:08,5,14626.15,UPI
SS2026091800095,S025,C0027,P0116,2026-09-18 23:37:44,3,8009.61,CARD
SS2026091800096,S014,C0013,P0050,2026-09-18 20:49:58,1,1478.31,UPI
SS2026091800097,S002,C0097,P0042,2026-09-18 08:41:04,4,3114.28,NET_BANKING
SS2026091800098,S007,C0067,P0125,2026-09-18 19:58:12,5,21496.5,UPI
SS2026091800099,S026,C0035,P0029,2026-09-18 08:01:51,5,6169.9,UPI
SS2026091800100,S001,C0031,P0017,2026-09-18 13:59:56,3,3345.36,WALLET
SS2026091800101,S005,C0022,P0127,2026-09-18 06:04:24,2,3154.04,WALLET
SS2026091800102,S020,C0098,P0037,2026-09-18 08:32:45,5,7897.7,CARD
SS2026091800103,S013,C0018,P0009,2026-09-18 14:21:31,5,7309.75,WALLET
SS2026091800104,S005,C0003,P0110,2026-09-18 10:34:18,2,3812.6,NET_BANKING
SS2026091800105,S004,C0051,P0074,2026-09-18 08:59:53,3,7109.28,UPI
SS2026091800106,S001,C0045,P0050,2026-09-18 03:55:37,5,7391.55,WALLET
SS2026091800107,S019,C0041,P0037,2026-09-18 17:29:48,4,6318.16,UPI
SS2026091800108,S026,C0030,P0072,2026-09-18 05:52:22,3,1957.35,UPI
SS2026091800109,S021,C0064,P0065,2026-09-18 10:12:49,4,19769.6,NET_BANKING
SS2026091800110,S004,C0056,P0059,2026-09-18 21:56:24,2,1922.22,WALLET
SS2026091800111,S005,C0033,P0041,2026-09-18 20:53:35,5,6834.5,WALLET
SS2026091800112,S008,C0011,P0025,2026-09-18 21:16:13,4,19344.44,NET_BANKING
SS2026091800113,S021,C0056,P0058,2026-09-18 05:23:44,3,6587.37,CASH
SS2026091800114,S026,C0100,P0102,2026-09-18 14:48:00,3,9076.56,UPI
SS2026091800115,S025,C0086,P0002,2026-09-18 05:45:07,5,7301.95,WALLET
SS2026091800116,S010,C0068,P0057,2026-09-18 07:08:34,1,1659.57,CARD
SS2026091800117,S030,C0085,P0009,2026-09-18 14:49:37,4,5847.8,UPI
SS2026091800118,S015,C0070,P0023,2026-09-18 14:26:50,5,14602.9,UPI
SS2026091800119,S010,C0016,P0035,2026-09-18 03:33:35,2,8466.66,NET_BANKING
SS2026091800120,S026,C0012,P0039,2026-09-18 23:39:03,5,11049.9,CARD
SS2026091800121,S013,C0059,P0039,2026-09-18 13:46:16,2,4419.96,WALLET
SS2026091800122,S011,C0098,P0087,2026-09-18 15:57:21,3,9261.51,CARD
SS2026091800123,S025,C0062,P0104,2026-09-18 15:39:57,1,1931.99,CASH
SS2026091800124,S029,C0051,P0009,2026-09-18 02:46:32,5,7309.75,CARD
SS2026091800125,S001,C0006,P0025,2026-09-18 08:15:44,2,9672.22,WALLET
SS2026091800126,S017,C0040,P0011,2026-09-18 08:32:27,5,18495.8,NET_BANKING
SS2026091800127,S023,C0098,P0116,2026-09-18 19:13:09,5,13349.35,UPI
SS2026091800128,S027,C0062,P0023,2026-09-18 02:23:54,2,5841.16,WALLET
SS2026091800129,S009,C0036,P0047,2026-09-18 01:20:52,5,24411.05,CARD
SS2026091800130,S002,C0001,P0025,2026-09-18 13:35:42,4,19344.44,UPI
SS2026091800131,S004,C0030,P0085,2026-09-18 22:53:53,4,689.36,CASH
SS2026091800132,S024,C0023,P0035,2026-09-18 14:29:23,1,4233.33,CARD
SS2026091800133,S020,C0052,P0045,2026-09-18 17:18:26,3,2196.87,UPI
SS2026091800134,S021,C0054,P0036,2026-09-18 19:21:26,4,14043.0,WALLET
SS2026091800135,S018,C0046,P0061,2026-09-18 03:05:45,3,3658.71,NET_BANKING
